59e3b,wininet.DeleteUrlCacheEntryW #151
59e51,kernel32.GetLastError #594
59e77,wininet.FindFirstUrlCacheEntryW #166
59eb3,kernel32.GetLastError #594
59eed,wininet.FindCloseUrlCache #160
59f1b,kernel32.GetProcessHeap #676
59f49,kernel32.CreateThread #234
5a0f5,zlib1.deflateInit2_ #20
5a1e1,zlib1.deflate #16
5a247,zlib1.deflateEnd #19
5a2a2,zlib1.deflateEnd #19
5a2da,shell32.SHGetFolderPathW #385
5a33f,kernel32.FindFirstFileW #373
5a378,kernel32.FindNextFileW #385
5a42a,kernel32.CloseHandle #129
5a493,shell32.SHGetFolderPathW #385
5a612,kernel32.GetSystemWow64DirectoryW #734
5a634,kernel32.GetSystemDirectoryW #719
5a6ce,kernel32.GetModuleHandleW #617
5a6fb,kernel32.GetProcAddress #671
5a75f,kernel32.LoadLibraryA #934
5a823,advapi32.RegCreateKeyExW #1606
5a866,advapi32.RegSetValueExW #1675
5a896,advapi32.RegCloseKey #1597
5a917,kernel32.Sleep #1363
5a97e,kernel32.ReleaseMutex #1165
5a990,kernel32.CloseHandle #129
5ab25,kernel32.HeapReAlloc #824
5ab46,kernel32.HeapAlloc #817
5ac17,ws2_32.select #18
5ad33,kernel32.CreateMutexW #211
5ad5b,kernel32.GetLastError #594
5ad74,kernel32.CloseHandle #129
5ae09,wininet.InternetCrackUrlA #272
5afc5,kernel32.CreateMutexW #211
5aff0,kernel32.WaitForSingleObject #1452
5b04d,kernel32.CloseHandle #129
5b11d,kernel32.GetVersionExA #774
5b4dd,kernel32.HeapAlloc #817
5b63e,kernel32.ExitThread #340
5b654,kernel32.ExitThread #340
5b6a5,advapi32.GetTokenInformation #1369
5b6d4,kernel32.GetLastError #594
5b6fb,advapi32.GetTokenInformation #1369
5b758,advapi32.OpenProcessToken #1531
5b7b0,advapi32.GetTokenInformation #1369
5b7e8,kernel32.CloseHandle #129
5b81a,advapi32.InitializeSecurityDescriptor #1398
5b843,advapi32.SetSecurityDescriptorDacl #1736
5b896,advapi32.ConvertStringSecurityDescriptorToSecurityDescriptorW #1131
5b8bd,advapi32.ConvertStringSecurityDescriptorToSecurityDescriptorW #1131
5b922,advapi32.GetSecurityDescriptorSacl #1355
5b95d,advapi32.SetSecurityDescriptorSacl #1740
5b97d,kernel32.LocalFree #947
5ba09,kernel32.CreateProcessW #221
5ba91,kernel32.CloseHandle #129
5baa6,kernel32.CloseHandle #129
5bce7,user32.CharLowerA #1546
5bcfe,user32.CharLowerA #1546
5bfc1,kernel32.HeapFree #821
5bff1,kernel32.CreateToolhelp32Snapshot #243
5c02a,kernel32.Thread32First #1394
5c055,kernel32.Thread32Next #1395
5c07b,kernel32.CloseHandle #129
5c194,kernel32.CreateToolhelp32Snapshot #243
5c1cc,kernel32.Process32FirstW #1038
5c21f,kernel32.Process32NextW #1040
5c254,kernel32.CloseHandle #129
5c3b3,kernel32.CreateToolhelp32Snapshot #243
5c3f5,kernel32.Process32FirstW #1038
5c442,kernel32.Process32NextW #1040
5c473,kernel32.OpenProcess #1007
5c492,kernel32.CloseHandle #129
5c507,kernel32.IsWow64Process #888
5c617,kernel32.ExpandEnvironmentStringsW #343
5c66a,advapi32.OpenProcessToken #1531
5c69f,advapi32.GetTokenInformation #1369
5c6ca,kernel32.GetLastError #594
5c70f,advapi32.GetTokenInformation #1369
5c746,advapi32.GetSidSubAuthorityCount #1366
5c774,advapi32.GetSidSubAuthority #1365
5c79b,kernel32.CloseHandle #129
5c7db,kernel32.CreateToolhelp32Snapshot #243
5c80b,kernel32.Process32FirstW #1038
5c837,kernel32.Process32NextW #1040
5c8d9,kernel32.CloseHandle #129
5c989,kernel32.MultiByteToWideChar #978
5cccd,kernel32.WriteFile #1506
5ccfa,kernel32.WriteFile #1506
5cd61,kernel32.SetEndOfFile #1259
5cd77,kernel32.FlushFileBuffers #404
5cf1a,ws2_32.send #19
5d439,kernel32.ReadFile #1105
5d52e,kernel32.ReadFile #1105
5d591,kernel32.ReadFile #1105
5d6d3,kernel32.FlushFileBuffers #404
5d6e7,kernel32.CloseHandle #129
5d891,ws2_32.select #18
5d8de,ws2_32.recv #16
5d90c,ws2_32.WSAGetLastError #111
5d972,kernel32.CreateFileW #196
5da08,kernel32.ReadFile #1105
5db23,kernel32.SetEndOfFile #1259
5db3f,kernel32.CloseHandle #129
5e1bb,kernel32.GetTickCount #757
5e6ce,advapi32.CryptAcquireContextA #1194
5e700,advapi32.CryptCreateHash #1197
5e737,advapi32.CryptHashData #1218
5e75e,advapi32.CryptGetHashParam #1214
5e7ad,advapi32.CryptDestroyHash #1200
5e7c1,advapi32.CryptReleaseContext #1221
5ec80,shlwapi.wvnsprintfA #924
5fbab,shlwapi.wvnsprintfA #924
5fdc3,shlwapi.wvnsprintfW #925
5fe9f,kernel32.CreateFileW #196
5fef5,kernel32.WriteFile #1506
5ff2c,kernel32.CloseHandle #129
5ffb2,kernel32.FindFirstFileW #373
5fff8,kernel32.FindNextFileW #385
60083,kernel32.FindClose #362
600d9,shlwapi.PathCombineW #653
60103,kernel32.VirtualFree #1439
60123,kernel32.CloseHandle #129
60154,kernel32.SetFilePointerEx #1278
601d8,ws2_32.setsockopt #21
60267,ws2_32.select #18
602ea,ws2_32.select #18
60354,ws2_32.recv #16
603ce,ws2_32.send #19
60439,ws2_32.shutdown #22
6045a,ws2_32.closesocket #3
60526,ws2_32.accept #1
60541,ws2_32.WSASetLastError #112
60578,ws2_32.socket #23
605dd,ws2_32.setsockopt #21
60614,ws2_32.bind #2
60655,ws2_32.listen #13
6067c,ws2_32.closesocket #3
60733,kernel32.FindFirstFileW #373
60777,kernel32.FindNextFileW #385
608a3,kernel32.FindClose #362
608b5,kernel32.RemoveDirectoryW #1174
60922,kernel32.FindFirstFileW #373
609d7,kernel32.FindNextFileW #385
60a0e,kernel32.WaitForSingleObject #1452
60afe,shlwapi.PathMatchSpecW #718
60b55,kernel32.Sleep #1363
60bd2,kernel32.Sleep #1363
60beb,kernel32.FindClose #362
60c66,shlwapi.StrCmpNIA #847
60d95,shlwapi.UrlUnescapeA #920
60e10,kernel32.CreateFileW #196
60e7d,kernel32.WaitForSingleObject #1452
60eb6,wininet.InternetReadFile #320
60ee4,kernel32.WriteFile #1506
60f60,kernel32.CloseHandle #129
60fc5,kernel32.FlushFileBuffers #404
61007,wininet.InternetQueryOptionA #318
6102b,wininet.InternetCloseHandle #264
61086,wininet.InternetCloseHandle #264
6119c,kernel32.WaitForSingleObject #1452
611cf,kernel32.Sleep #1363
61260,wininet.InternetCloseHandle #264
613e8,kernel32.WaitForSingleObject #1452
61437,wininet.InternetReadFile #320
61a7d,kernel32.SetEvent #1265
